x,y
0.005,1.6817462190465977
0.024,1.242354138105117
0.026000000000000002,3.8932143634655736
0.031,4.679514729903767
0.036000000000000004,2.7429241300861027
0.047,2.3866196008546314
0.077,2.2294377626966595
0.078,1.7754441849632903
0.09,0.005571486890846966
0.092,3.6822362440194016
0.095,1.2235442043992215
0.113,0.9178941093884319
0.138,0.25549422482082895
0.159,5.329249280175587
0.169,2.56831431171015
0.17500000000000002,0.38616793435143415
0.178,3.1827355727487845
0.179,6.933382867350516
0.19,0.8914568719302505
0.192,0.08718290076564417
0.201,1.9361474139401231
0.20600000000000002,0.8305210719781664
0.224,0.437144391924698
0.227,4.843013324506666
0.23700000000000002,0.7342232339004804
0.248,6.077958678450897
0.279,8.863509280201768
0.314,1.7571073352976063
0.337,0.7661926511730048
0.387,1.851991015241749
0.41200000000000003,1.884101851943863
0.417,3.3192106568394086
0.419,5.258985306404757
0.421,6.86702611836315
0.427,1.8572157907188998
0.428,5.817688521544471
0.44,2.4035552167198144
0.444,4.906526084333124
0.461,0.8048041187345447
0.481,2.4214559394626725
0.493,4.260400296199496
0.51,2.963290288385176
0.516,4.9476885819037095
0.523,3.208297967659964
0.524,3.7989300956625778
0.531,0.47297265769548424
0.535,5.3653214315654365
0.54,6.234551901795536
0.581,4.442103543223135
0.587,4.810611641794261
0.597,8.423602591597806
0.599,8.4100635423875
0.606,5.542391235481431
0.619,2.3606796293671204
0.636,6.191441292036972
0.638,0.6995543584199169
0.639,0.2304579138637337
0.652,0.5905113161138649
0.676,5.157977909116305
0.6910000000000001,1.7891574599379516
0.6920000000000001,1.3714657078358699
0.6990000000000001,0.1956110972201437
0.704,0.7724708789631778
0.715,3.0195285181655223
0.73,1.2590575180298529
0.772,7.400092471203145
0.773,6.174804228923673
0.796,2.4309882001929104
0.804,1.704129137761568
0.812,1.5619453565735641
0.8170000000000001,6.790310919476006
0.854,1.5535934272831255
0.858,1.5596818524318832
0.875,5.0470686194303465
0.883,4.510956428424443
0.909,0.5688417438460185
0.912,0.8084109979981489
0.916,2.837267455765443
0.932,0.3129908783322466
0.937,5.5973649750676255
0.9430000000000001,0.23936013144548296
0.9500000000000001,0.3790372820966583
0.963,3.151787278100533
0.975,2.832869824342344
0.979,1.3759365885103563
0.991,2.412450500620564
0.994,1.1825368710890554
0.996,2.1609520592174545
1.004,1.9022084481013248
1.026,5.551919402589353
1.047,5.712401448431505
1.05,0.08135402763646882
1.075,3.4441536792919303
1.078,3.0951088086037464
1.082,1.1528586763096977
1.086,3.9479907893058184
1.087,0.4489463445314148
1.089,2.120087279091643
1.104,3.5218678209998595
